year,state,question,category,group,value
2019,Alabama,Frequent mental distress among adults,Age,Age 18-44,21.0
2019,Arkansas,Depression among adults,Age,Age 18-44,27.8
2019,Guam,Depression among adults,Race/Ethnicity,"Multiracial, non-Hispanic",13.0
2019,Idaho,Depression among adults,Age,Age 45-64,22.3
2019,Idaho,Frequent mental distress among adults,Sex,Male,11.5
2019,Illinois,Depression among adults,Age,Age >=65,13.7
2019,Indiana,Depression among adults,Sex,Female,26.7
2019,Iowa,Depression among adults,Sex,Male,11.4
2019,Maryland,Average mentally unhealthy days among adults,Age,Age 18-44,4.7
2019,Michigan,Depression among adults,Age,Age 18-44,23.4
2019,Michigan,Average mentally unhealthy days among adults,Overall,Overall,3.2
2019,Michigan,Frequent mental distress among adults,Sex,Female,19.7
2019,Mississippi,Depression among adults,Overall,Overall,20.6
2019,Mississippi,Average mentally unhealthy days among adults,Sex,Female,2.3
2019,Missouri,Depression among adults,Sex,Male,16.3
2019,Missouri,Frequent mental distress among adults,Race/Ethnicity,Hispanic,18.6
2019,Nebraska,Frequent mental distress among adults,Sex,Male,8.6
2019,New Mexico,Depression among adults,Sex,Female,20.6
2019,New York,Frequent mental distress among adults,Race/Ethnicity,"White, non-Hispanic",12.1
2019,North Carolina,Frequent mental distress among adults,Age,Age 45-64,13.3
2019,North Dakota,Frequent mental distress among adults,Age,Age 45-64,8.5
2019,Tennessee,Depression among adults,Sex,Male,18.5
2019,Vermont,Frequent mental distress among adults,Sex,Male,13.1
2019,Virginia,Frequent mental distress among adults,Sex,Female,15.4
2020,Alabama,Depression among adults,Sex,Male,16.1
2020,Alabama,Frequent mental distress among adults,Sex,Female,21.0
2020,Arkansas,Average mentally unhealthy days among adults,Age,Age 45-64,2.7
2020,California,Depression among adults,Overall,Overall,14.1
2020,Delaware,Frequent mental distress among adults,Race/Ethnicity,"White, non-Hispanic",12.6
2020,Guam,Depression among adults,Age,Age 18-44,7.9
2020,Hawaii,Frequent mental distress among adults,Age,Age 45-64,10.4
2020,Hawaii,Frequent mental distress among adults,Race/Ethnicity,"Asian, non-Hispanic",7.7
2020,Kentucky,Depression among adults,Sex,Female,30.7
2020,Maryland,Frequent mental distress among adults,Race/Ethnicity,"Asian, non-Hispanic",10.9
2020,Minnesota,Depression among adults,Race/Ethnicity,"White, non-Hispanic",20.8
2020,Missouri,Frequent mental distress among adults,Age,Age 18-44,19.2
2020,New Mexico,Depression among adults,Sex,Male,12.5
2020,New Mexico,Average mentally unhealthy days among adults,Sex,Female,3.2
2020,Oklahoma,Frequent mental distress among adults,Age,Age 45-64,17.2
2020,Puerto Rico,Frequent mental distress among adults,Sex,Female,13.1
2020,Rhode Island,Depression among adults,Age,Age 18-44,23.4
2020,Washington,Frequent mental distress among adults,Race/Ethnicity,Hispanic,13.8
2020,Wisconsin,Depression among adults,Sex,Female,26.5
2021,Alabama,Depression among adults,Overall,Overall,23.0
2021,Colorado,Frequent mental distress among adults,Sex,Male,11.3
2021,Hawaii,Depression among adults,Race/Ethnicity,"Multiracial, non-Hispanic",12.8
2021,Maryland,Frequent mental distress among adults,Race/Ethnicity,"White, non-Hispanic",15.6
2021,Massachusetts,Depression among adults,Age,Age 18-44,22.0
2021,Massachusetts,Frequent mental distress among adults,Sex,Male,10.2
2021,Minnesota,Frequent mental distress among adults,Sex,Female,15.1
2021,Mississippi,Depression among adults,Sex,Male,13.7
2021,Missouri,Frequent mental distress among adults,Overall,Overall,16.2
2021,Missouri,Frequent mental distress among adults,Sex,Male,12.9
2021,Montana,Average mentally unhealthy days among adults,Sex,Female,3.0
2021,Nebraska,Frequent mental distress among adults,Sex,Male,10.7
2021,New Jersey,Depression among adults,Sex,Male,14.6
2021,New Mexico,Frequent mental distress among adults,Age,Age >=65,9.4
2021,New York,Depression among adults,Sex,Male,13.7
2021,Ohio,Depression among adults,Sex,Male,16.3
2021,Oregon,Depression among adults,Race/Ethnicity,"Multiracial, non-Hispanic",34.8
2021,Pennsylvania,Frequent mental distress among adults,Race/Ethnicity,Hispanic,14.9
2021,South Carolina,Current poor mental health among high school students,Grade,Grade 9,21.0
2021,South Carolina,Frequent mental distress among adults,Sex,Male,13.4
2021,Vermont,Depression among adults,Age,Age 45-64,22.7
2021,Virginia,Frequent mental distress among adults,Sex,Female,18.3
2021,West Virginia,Frequent mental distress among adults,Sex,Female,25.3
2022,Alabama,Frequent mental distress among adults,Sex,Male,15.0
2022,Alaska,Depression among adults,Race/Ethnicity,"Black, non-Hispanic",20.5
2022,Arizona,Depression among adults,Sex,Male,15.9
2022,California,Frequent mental distress among adults,Race/Ethnicity,Hispanic,14.7
2022,Guam,Depression among adults,Sex,Male,10.4
2022,Hawaii,Frequent mental distress among adults,Sex,Male,10.2
2022,Idaho,Frequent mental distress among adults,Sex,Female,18.7
2022,Kansas,Average mentally unhealthy days among adults,Age,Age 18-44,6.8
2022,Massachusetts,Depression among adults,Sex,Female,28.0
2022,New Mexico,Frequent mental distress among adults,Race/Ethnicity,Hispanic,15.9
2022,Oklahoma,Average mentally unhealthy days among adults,Age,Age 45-64,5.1
2022,Puerto Rico,Depression among adults,Age,Age >=65,19.3
2022,Puerto Rico,Frequent mental distress among adults,Overall,Overall,14.1
2022,South Carolina,Frequent mental distress among adults,Race/Ethnicity,"White, non-Hispanic",14.8
2022,South Dakota,Frequent mental distress among adults,Sex,Female,14.9
2022,Tennessee,Depression among adults,Age,Age 18-44,33.9
2022,Vermont,Depression among adults,Sex,Male,19.3
2022,Wyoming,Frequent mental distress among adults,Age,Age >=65,8.7
2019,Alabama,Frequent mental distress among adults,Sex,Female,20.3
2019,Alabama,Depression among adults,Age,Age 45-64,25.9
2019,Alabama,Frequent mental distress among adults,Race/Ethnicity,"White, non-Hispanic",18.1
2019,Arizona,Average mentally unhealthy days among adults,Overall,Overall,3.2
2019,Arizona,Frequent mental distress among adults,Race/Ethnicity,"White, non-Hispanic",14.6
2019,Arizona,Frequent mental distress among adults,Race/Ethnicity,"Black, non-Hispanic",18.2
2019,Alaska,Frequent mental distress among adults,Race/Ethnicity,"White, non-Hispanic",11.0
2019,Alabama,Frequent mental distress among adults,Age,Age 45-64,18.2
2019,Alabama,Frequent mental distress among adults,Sex,Male,15.3
2019,Alabama,Depression among adults,Sex,Female,28.4
2019,Alabama,Postpartum depressive symptoms among women with a recent live birth,Race/Ethnicity,"White, non-Hispanic",20.7
2019,Alaska,Frequent mental distress among adults,Age,Age >=65,6.7
2019,Arkansas,Average mentally unhealthy days among adults,Race/Ethnicity,"White, non-Hispanic",2.6
2019,Alaska,Average mentally unhealthy days among adults,Age,Age 18-44,3.9
2019,Alaska,Average mentally unhealthy days among adults,Sex,Female,4.2
2019,Arizona,Depression among adults,Race/Ethnicity,"White, non-Hispanic",19.6
2019,Arkansas,Depression among adults,Race/Ethnicity,"Multiracial, non-Hispanic",30.8
2019,Alabama,Average mentally unhealthy days among adults,Race/Ethnicity,"Black, non-Hispanic",2.5
2019,Alabama,Depression among adults,Race/Ethnicity,"Black, non-Hispanic",17.0
2019,Arizona,Frequent mental distress among adults,Overall,Overall,15.0
2019,Arizona,Depression among adults,Age,Age 45-64,18.7
2019,Arkansas,Frequent mental distress among adults,Overall,Overall,18.5
2019,Arizona,Average mentally unhealthy days among adults,Race/Ethnicity,Hispanic,2.9
2019,Alaska,Depression among adults,Race/Ethnicity,"White, non-Hispanic",18.5
2019,Arizona,Frequent mental distress among adults,Age,Age 18-44,18.3
2019,Arizona,Depression among adults,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",15.9
2019,Alaska,Depression among adults,Age,Age 45-64,17.4
2019,Arizona,Average mentally unhealthy days among adults,Age,Age >=65,3.4
2019,Arkansas,Frequent mental distress among adults,Sex,Female,21.8
2019,Arkansas,Average mentally unhealthy days among adults,Age,Age 45-64,1.9
2019,Arizona,Frequent mental distress among adults,Sex,Male,13.6
2019,Arizona,Average mentally unhealthy days among adults,Race/Ethnicity,"White, non-Hispanic",3.6
2019,Arizona,Depression among adults,Race/Ethnicity,"Black, non-Hispanic",11.6
2019,Arizona,Average mentally unhealthy days among adults,Sex,Female,3.5
